date,person,miles
2024-04-03,Mike Thomas,3.8
2023-02-19,John Moore,1.6
2023-10-16,Richard Smith,2.2
2024-08-28,Christopher Perez,7.4
2023-04-23,John Smith,5.9
2024-02-07,Ashley Davis,5.4
2023-09-27,William Wright,4.5
2024-12-30,Nancy Jackson,3.1
2024-06-30,John Smith,5.1
2024-08-01,Christopher Johnson,2.1
2023-05-27,Ashley Ramirez,2.2
2023-03-24,Thomas Wilson,2.3
2023-09-12,Karen Flores,2.9
2024-09-15,Chris Gonzalez,12.0
2024-09-26,Maria Williams,6.8
2023-10-28,Michael Smith,6.0
2023-11-25,Elizabeth Taylor,1.5
2023-06-02,Laura Brown,3.9
2023-10-26,Chris White,18.7
2023-06-25,William Wright,3.6
2023-07-09,Richard Wright,19.0
2024-10-12,Daniel Young,12.0
2024-09-16,Thomas Robinson,11.9
2024-03-31,Chris Flores,13.1
2023-04-24,Michael Taylor,3.6
2024-11-30,Laura Brown,4.4
2023-06-13,William Wright,4.3
2024-11-06,Maria Williams,6.5
2023-06-02,Betty Miller,8.7
2023-09-07,Michael Robinson,19.0
2024-09-03,Karen Davis,9.4
2023-10-14,Mark Torres,19.6
2024-09-23,Michael Taylor,2.4
2024-05-18,Mike White,4.3
2024-04-22,Michael Thomas,16.1
2024-08-04,Daniel Young,16.0
2024-12-15,Kevin White,19.8
2023-07-16,Betty Sanchez,4.6
2023-07-15,Elizabeth Martin,2.9
2023-08-17,Thomas Robinson,9.1
2023-04-14,Amanda Robinson,5.9
2023-08-25,Mark Torres,9.3
2023-01-14,Karen Young,3.8
2023-10-22,Elizabeth Martin,2.5
2023-07-25,Michael Martinez,10.2
2023-04-13,Christopher Lopez,1.9
2023-03-09,Robert Jones,9.4
2024-02-17,Elizabeth Thompson,0.7
2024-07-12,Lisa Clark,2.9
2024-10-10,Elizabeth Taylor,1.5
2024-11-15,Karen Williams,7.7
2023-08-01,Robert Wilson,5.8
2023-12-08,Paul Smith,11.2
2024-12-05,Joshua Nguyen,19.1
2024-08-06,Karen Young,7.1
2024-04-11,John Moore,4.0
2024-10-23,Stephanie Garcia,2.7
2023-10-26,James Nguyen,17.3
2024-04-06,Elizabeth Young,7.4
2024-02-16,Matthew Young,2.7
2024-07-10,Stephanie Garcia,4.8
2024-03-02,Jennifer Robinson,2.8
2023-01-01,Robert White,4.8
2024-02-21,Sarah Sanchez,9.0
2023-04-01,Mark Nguyen,17.5
2024-03-11,Maria Jackson,2.7
2023-04-19,Michael Taylor,2.7
2024-12-01,Mike Sanchez,1.5
2024-05-26,Robert Jones,19.5
2024-01-06,Joseph Hernandez,4.4
2023-12-27,Karen Davis,16.4
2024-01-01,Michael King,6.6
2023-02-06,Mark Walker,13.8
2024-11-14,Donna Torres,10.5
2024-11-21,Betty Robinson,7.5
2024-03-08,Mark Lewis,10.5
2023-07-16,Lisa Clark,1.9
2024-12-31,John Smith,5.2
2024-02-03,Mark Anderson,3.6
2024-03-22,Chris Gonzalez,8.9
2024-02-18,Stephanie Hill,8.2
2023-03-11,Chris Ramirez,4.9
2023-11-06,Robert Young,3.7
2024-07-07,Christopher Lee,5.1
2024-01-10,David Hill,12.9
2024-04-25,William Torres,4.0
2024-08-02,Elizabeth Martin,1.8
2024-03-17,Sarah Jackson,5.4
2024-11-09,Joshua Taylor,6.9
2023-03-27,Mark Moore,0.9
2023-03-24,Joseph King,2.6
2023-10-04,Mark Nguyen,14.8
2023-07-24,James Hill,0.5
2024-10-16,Amanda Hill,2.2
2023-11-08,Jessica Wright,14.0
2024-07-08,Karen Sanchez,19.0
2024-04-30,Jane Jones,7.9
2023-04-19,Laura Brown,1.6
2024-01-23,Kimberly Miller,1.6
2023-10-28,Mark Walker,13.6
2023-11-01,John Smith,4.0
2023-04-26,Karen Flores,2.8
2024-03-13,Joseph Gonzalez,11.5
2024-03-30,Sarah Wright,7.0
2024-09-19,Donna Flores,1.1
2023-12-28,William Lopez,14.8
2024-11-05,William Sanchez,5.7
2023-09-21,Robert Young,4.0
2024-08-05,Christopher Wilson,6.2
2023-11-14,Daniel Young,16.5
2024-09-18,Jessica Wright,19.7
2024-10-10,Jane Lewis,5.5
2024-02-22,Sarah King,2.4
2024-01-20,Kimberly Nguyen,1.6
2023-12-31,Robert Young,2.7
2024-11-29,Joseph Hernandez,2.0
2024-03-10,John Smith,7.3
2023-06-27,Stephanie Hill,19.4
2024-02-23,Kevin Wilson,6.5
2024-06-17,Matthew Allen,15.0
2023-07-07,Elizabeth Torres,9.4
2024-08-03,Robert Jones,13.3
2024-03-03,Michael Thomas,9.4
2024-10-10,Jessica Thomas,11.1
2023-12-02,Jane Lewis,5.8
2023-09-14,William Smith,1.3
2024-06-04,Laura Clark,12.4
2023-11-18,William Smith,0.8
2023-08-17,Lisa Jones,11.6
2024-11-12,Mark Jones,6.7
2023-08-16,Joshua Harris,16.0
2023-05-05,John Johnson,6.8
2023-08-10,Karen Flores,3.0
2024-11-29,Richard Ramirez,4.7
2023-03-24,Joseph Williams,3.3
2023-05-15,Karen Torres,4.0
2024-09-14,Amanda Robinson,4.2
2024-10-23,David Hill,18.0
2024-08-29,Maria Walker,2.8
2023-08-24,Sarah King,0.6
2023-04-01,Linda Lopez,2.0
2024-02-02,Jessica Taylor,2.3
